name,location,address,hours,services,direction_link
Temu Business Centre City Of Elmina,Selangor,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Spectrum Shopping Mall,Selangor,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor",Not specified,"Coffee, Food, Beverages",
Bandar Menjalara,Wilayah Persekutuan Kuala Lumpur,"37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Jabatan Peguam Negara,  Putrajaya",Kuala Lumpur/Selangor,"Bangunan Jabatan Peguam Negara AGC Persint 4, Lot 1, Level 1, Putrajaya 62100 Malaysia",Not specified,"Coffee, Food, Beverages",
"LSH33, Sentul",Wilayah Persekutuan Kuala Lumpur,"G-11, Ground Floor, Laman Seri Harmoni (LSH33), No. 3, Jalan Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Bandar Tun Hussein Onn, Cheras",Selangor,"No 48A Jalan Suarasa 8/4, Bandar Tun Hussein Onn, 43200 Cheras, Selangor",Not specified,"Coffee, Food, Beverages",
AEON BiG Wangsa Maju,Wilayah Persekutuan,"Lot F1.11 (First Floor), AEON BiG Wangsa Maju, 6, Jalan 8/27A, Section 5, Wangsa Maju, 53300, Kuala Lumpur, Wilayah Persekutuan",Not specified,"Coffee, Food, Beverages",
Cheras Business Centre,Kuala Lumpur,"No 6 Jalan 5/101C, Cheras Business Centre, 56100 Cheras, Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Damansara Perdana, Petaling Jaya",Selangor.,"12-1 (Ground floor), Jalan PJU 8/5E, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
"Bandar Damai Perdana, Cheras",Wilayah Persekutuan Kuala Lumpur,"No 19G (Ground floor), Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
